Team,Group,Elo,Expected_Points,Prob_1st,Prob_Advance_Top2
Mexico,A,1880,6.62,0.4016990291262136,0.8033980582524272
Sweden,A,1790,5.34,0.3240291262135922,0.6480582524271844
Cameroon,A,1650,2.96,0.1796116504854369,0.3592233009708738
New Zealand,A,1550,1.56,0.09466019417475728,0.18932038834951456
USA,B,1850,6.13,0.37241798298906437,0.7448359659781287
Serbia,B,1820,5.64,0.3426488456865127,0.6852976913730254
Mali,B,1680,3.08,0.18712029161603888,0.37424058323207776
Saudi Arabia,B,1580,1.61,0.09781287970838397,0.19562575941676794
Ecuador,C,1810,5.65,0.3438831405964699,0.6877662811929398
Poland,C,1760,4.73,0.28788800973828366,0.5757760194765673
Canada,C,1750,4.52,0.2751065124771759,0.5502130249543518
South Africa,C,1590,1.53,0.0931223371880706,0.1862446743761412
France,D,2135,7.25,0.45199501246882795,0.9039900249376559
Algeria,D,1720,4.5,0.2805486284289277,0.5610972568578554
Costa Rica,D,1610,2.81,0.17518703241895264,0.3503740648379053
Uzbekistan,D,1520,1.48,0.09226932668329177,0.18453865336658354
Brazil,E,2065,7.31,0.4462759462759463,0.8925518925518926
Hungary,E,1780,4.27,0.2606837606837607,0.5213675213675214
Ivory Coast,E,1700,2.96,0.1807081807081807,0.3614163614163614
Panama,E,1630,1.84,0.11233211233211235,0.2246642246642247
England,F,2070,7.24,0.44227244960293227,0.8845448992058645
Morocco,F,1840,4.94,0.3017715332926085,0.603543066585217
Paraguay,F,1690,2.88,0.17593158216249238,0.35186316432498477
Jamaica,F,1570,1.31,0.08002443494196702,0.16004886988393405
Spain,G,2105,7.32,0.4474327628361858,0.8948655256723717
Senegal,G,1800,4.01,0.24511002444987776,0.4902200488997555
Australia,G,1740,3.0,0.18337408312958436,0.36674816625916873
Venezuela,G,1680,2.03,0.12408312958435207,0.24816625916870413
Argentina,H,2140,7.23,0.4457459926017263,0.8914919852034526
Switzerland,H,1860,4.92,0.3033292231812577,0.6066584463625154
Nigeria,H,1710,3.07,0.18927250308261406,0.3785450061652281
Qatar,H,1540,1.0,0.06165228113440198,0.12330456226880396
Germany,I,2050,7.22,0.4394400486914181,0.8788800973828362
Japan,I,1830,4.49,0.2732805842970177,0.5465611685940354
Peru,I,1730,2.84,0.17285453438831405,0.3457090687766281
Egypt,I,1670,1.88,0.11442483262325015,0.2288496652465003
Portugal,J,2010,6.64,0.4029126213592233,0.8058252427184466
Colombia,J,1920,5.45,0.3307038834951456,0.6614077669902912
Wales,J,1750,2.54,0.154126213592233,0.308252427184466
Iran,J,1700,1.85,0.11225728155339806,0.22451456310679613
Netherlands,K,1990,6.29,0.3816747572815535,0.763349514563107
Uruguay,K,1960,5.91,0.358616504854369,0.717233009708738
South Korea,K,1770,2.83,0.17172330097087382,0.34344660194174764
Tunisia,K,1660,1.45,0.0879854368932039,0.1759708737864078
Italy,L,1980,6.39,0.38821385176184686,0.7764277035236937
Croatia,L,1940,5.9,0.35844471445929527,0.7168894289185905
Chile,L,1720,2.59,0.15735115431348723,0.31470230862697446
Ghana,L,1640,1.58,0.0959902794653706,0.1919805589307412
