Nation,Confederation,FIFA_Rank,Base_xG/90,xG_Efficiency_Multiplier,Logistics_Modifier,Adjusted_xG/90,Exp_Win_Prob_vs_Avg,Expected_Pts_Per_Match,Group_Advancement_Prob,Tournament_Win_Prob_OrderStat
Brazil,CONMEBOL,5,2.1,1.1,0.05,2.426,68.8%,2.24,89.5%,89.95%
France,UEFA,2,2.2,1.15,-0.05,2.403,68.4%,2.23,89.1%,87.13%
Argentina,CONMEBOL,1,1.9,1.12,0.03,2.192,64.5%,2.13,85.1%,63.1%
England,UEFA,4,1.95,1.05,-0.04,1.966,59.8%,2.01,80.4%,43.1%
Spain,UEFA,8,2.0,1.02,-0.04,1.958,59.7%,2.01,80.2%,42.55%
Portugal,UEFA,6,1.85,1.08,-0.05,1.898,58.4%,1.97,78.9%,38.14%
Germany,UEFA,16,1.8,1.0,-0.05,1.71,54.0%,1.86,74.4%,26.47%
Uruguay,CONMEBOL,14,1.6,1.05,0.0,1.68,53.3%,1.84,73.7%,24.88%
Netherlands,UEFA,7,1.75,1.01,-0.05,1.679,53.3%,1.84,73.6%,24.83%
Norway,UEFA,44,1.5,1.15,-0.05,1.639,52.3%,1.82,72.6%,22.8%
Colombia,CONMEBOL,12,1.55,1.03,0.02,1.628,52.1%,1.81,72.3%,22.3%
Italy,UEFA,9,1.65,1.02,-0.05,1.599,51.3%,1.79,71.6%,20.92%
USA,CONCACAF,11,1.4,1.0,0.12,1.568,50.5%,1.77,70.8%,19.54%
Croatia,UEFA,10,1.5,1.08,-0.06,1.523,49.4%,1.74,69.6%,17.64%
Morocco,CAF,13,1.4,1.02,0.02,1.457,47.7%,1.69,67.8%,15.1%
Mexico,CONCACAF,15,1.3,1.0,0.1,1.43,47.0%,1.68,67.0%,14.15%
Japan,AFC,17,1.45,1.03,-0.08,1.374,45.4%,1.64,65.4%,12.31%
Senegal,CAF,20,1.35,1.01,-0.02,1.336,44.4%,1.61,64.3%,11.16%
Ecuador,CONMEBOL,31,1.3,0.98,0.04,1.325,44.1%,1.6,64.0%,10.84%
Egypt,CAF,33,1.25,1.02,-0.02,1.249,42.0%,1.54,61.8%,8.83%
South Korea,AFC,22,1.3,1.04,-0.08,1.244,41.8%,1.54,61.6%,8.69%
Canada,CONCACAF,48,1.1,0.98,0.08,1.164,39.5%,1.48,59.1%,6.89%
Australia,AFC,25,1.2,0.95,-0.1,1.026,35.4%,1.37,54.7%,4.43%
Qualifier 24,VARIOUS,64,1.06,0.95,-0.05,0.957,33.2%,1.31,52.4%,3.47%
Qualifier 25,VARIOUS,65,1.05,0.95,-0.05,0.948,32.9%,1.3,52.1%,3.35%
Qualifier 26,VARIOUS,66,1.04,0.95,-0.05,0.939,32.7%,1.29,51.8%,3.24%
Qualifier 27,VARIOUS,67,1.03,0.95,-0.05,0.93,32.4%,1.29,51.5%,3.13%
Qualifier 28,VARIOUS,68,1.02,0.95,-0.05,0.921,32.1%,1.28,51.1%,3.03%
Qualifier 29,VARIOUS,69,1.01,0.95,-0.05,0.912,31.8%,1.27,50.8%,2.93%
Qualifier 30,VARIOUS,70,1.0,0.95,-0.05,0.902,31.5%,1.26,50.5%,2.83%
Qualifier 31,VARIOUS,71,0.99,0.95,-0.05,0.893,31.2%,1.26,50.2%,2.73%
Qualifier 32,VARIOUS,72,0.98,0.95,-0.05,0.884,30.9%,1.25,49.9%,2.63%
Qualifier 33,VARIOUS,73,0.97,0.95,-0.05,0.875,30.7%,1.24,49.6%,2.54%
Qualifier 34,VARIOUS,74,0.96,0.95,-0.05,0.866,30.4%,1.23,49.3%,2.45%
Qualifier 35,VARIOUS,75,0.95,0.95,-0.05,0.857,30.1%,1.22,49.0%,2.36%
Qualifier 36,VARIOUS,76,0.94,0.95,-0.05,0.848,29.8%,1.22,48.6%,2.28%
Qualifier 37,VARIOUS,77,0.93,0.95,-0.05,0.839,29.5%,1.21,48.3%,2.19%
Qualifier 38,VARIOUS,78,0.92,0.95,-0.05,0.83,29.2%,1.2,48.0%,2.11%
Qualifier 39,VARIOUS,79,0.91,0.95,-0.05,0.821,28.9%,1.19,47.7%,2.03%
Qualifier 40,VARIOUS,80,0.9,0.95,-0.05,0.812,28.6%,1.18,47.4%,1.95%
Qualifier 41,VARIOUS,81,0.89,0.95,-0.05,0.803,28.3%,1.18,47.0%,1.88%
Qualifier 42,VARIOUS,82,0.88,0.95,-0.05,0.794,28.0%,1.17,46.7%,1.81%
Qualifier 43,VARIOUS,83,0.87,0.95,-0.05,0.785,27.7%,1.16,46.4%,1.74%
Qualifier 44,VARIOUS,84,0.86,0.95,-0.05,0.776,27.4%,1.15,46.1%,1.67%
Qualifier 45,VARIOUS,85,0.85,0.95,-0.05,0.767,27.1%,1.14,45.7%,1.6%
Qualifier 46,VARIOUS,86,0.84,0.95,-0.05,0.758,26.8%,1.14,45.4%,1.54%
Qualifier 47,VARIOUS,87,0.83,0.95,-0.05,0.749,26.5%,1.13,45.1%,1.47%
Qualifier 48,VARIOUS,88,0.82,0.95,-0.05,0.74,26.3%,1.12,44.8%,1.41%
