rank,team,group,confederation,elo,P_champion,champ_SE,P_market,P_consensus,value_vs_market,P_reach_Final,P_reach_SF,P_reach_QF,P_reach_R16,P_reach_R32
1,Spain,H,UEFA,2129.0,0.210455,0.0009114924381886006,0.14196917156397817,0.18447021078825868,0.06848582843602183,0.31105,0.48834,0.59391,0.77878,0.997275
2,France,I,UEFA,2084.0,0.158445,0.0008165175502553512,0.17036300587677386,0.17062625884042235,-0.011918005876773857,0.297535,0.43944,0.60631,0.812125,0.982935
3,Argentina,J,CONMEBOL,2128.0,0.21771,0.0009228010508771649,0.08518150293838693,0.15145210259813638,0.13252849706161307,0.322375,0.49907,0.65908,0.769065,0.992765
4,England,L,UEFA,2024.0,0.076045,0.0005927147626599155,0.10647687867298365,0.09234074950315316,-0.03043187867298365,0.158905,0.288425,0.459865,0.725295,0.98544
5,Portugal,K,UEFA,1989.0,0.04596,0.00046822899525766237,0.09464611437598545,0.0666013284350602,-0.048686114375985454,0.091275,0.19728,0.386085,0.648275,0.953915
6,Brazil,C,CONMEBOL,1978.0,0.04083,0.00044250938464624677,0.0774377299439881,0.05692717763418742,-0.03660772994398811,0.1007,0.194375,0.366735,0.592515,0.972265
7,Germany,E,UEFA,1939.0,0.02376,0.000340554418558914,0.05678766862559127,0.03678179590654521,-0.03302766862559127,0.068335,0.14883,0.27672,0.616515,0.974005
8,Netherlands,F,UEFA,1944.0,0.0267,0.0003604657403970591,0.044832369967572054,0.035176473484088505,-0.018132369967572053,0.073955,0.15694,0.345335,0.55358,0.946725
9,Colombia,K,CONMEBOL,1982.0,0.04103,0.00044354559573960375,0.01851771803008411,0.029960590852410842,0.022512281969915886,0.08369,0.18612,0.36933,0.636645,0.950595
10,Norway,I,UEFA,1929.0,0.020995,0.0003205792411791506,0.030421965335138183,0.025865889663662586,-0.009426965335138184,0.05985,0.14275,0.29334,0.539035,0.88081
11,Mexico,A,CONCACAF,1881.0,0.02825,0.00037048574533981736,0.01670225547811508,0.02325850657733109,0.01154774452188492,0.07803,0.1661,0.34249,0.693755,0.97703
12,Japan,F,AFC,1910.0,0.016115,0.0002815608883971636,0.01851771803008411,0.01787917604642563,-0.0024027180300841104,0.04876,0.115615,0.276355,0.48593,0.918265
13,Belgium,G,UEFA,1879.0,0.010285,0.00022560162649014746,0.023661528593996364,0.015615735793692409,-0.013376528593996363,0.02718,0.08381,0.27538,0.57977,0.941075
14,Croatia,L,UEFA,1912.0,0.015595,0.0002770541100128276,0.011208092491893014,0.014010339808975975,0.004386907508106986,0.04332,0.109485,0.22205,0.49877,0.93656
15,United States,D,CONCACAF,1780.0,0.005225,0.00016120948134337506,0.020775976326435835,0.010159870115698709,-0.015550976326435834,0.01567,0.05188,0.166715,0.418675,0.73303
16,Switzerland,B,UEFA,1865.0,0.007625,0.00019451040299942827,0.010516234930665051,0.009184538450410212,-0.0028912349306650514,0.02429,0.074085,0.24112,0.60268,0.96633
17,Morocco,C,CAF,1840.0,0.004325,0.00014673606194456765,0.020775976326435835,0.009160881037844272,-0.016450976326435836,0.017325,0.0518,0.148985,0.314165,0.852645
18,Ecuador,E,CONMEBOL,1890.0,0.01161,0.00023953296119741017,0.006088931214863002,0.009053845196011495,0.0055210687851369985,0.03731,0.09355,0.20334,0.512925,0.951515
19,Uruguay,H,CONMEBOL,1870.0,0.00694,0.00018563184532832723,0.011208092491893014,0.00897604034226168,-0.0042680924918930135,0.019345,0.06332,0.143725,0.27339,0.90239
