,Mexico,South Africa,South Korea,Czech Republic,Canada,Bosnia and Herzegovina,Qatar,Switzerland,Brazil,Morocco,Haiti,Scotland,United States,Paraguay,Australia,Turkey,Germany,Curacao,Ivory Coast,Ecuador,Netherlands,Japan,Sweden,Tunisia,Belgium,Egypt,Iran,New Zealand,Spain,Cape Verde,Saudi Arabia,Uruguay,France,Senegal,Iraq,Norway,Argentina,Algeria,Austria,Jordan,Portugal,DR Congo,Uzbekistan,Colombia,England,Croatia,Ghana,Panama
Mexico,0.5,0.894,0.633,0.726,0.658,0.821,0.924,0.523,0.364,0.559,0.879,0.623,0.641,0.641,0.56,0.546,0.417,0.932,0.689,0.487,0.41,0.458,0.674,0.846,0.503,0.727,0.673,0.851,0.193,0.83,0.836,0.516,0.237,0.56,0.841,0.431,0.194,0.669,0.534,0.788,0.349,0.789,0.723,0.359,0.305,0.456,0.894,0.705
South Africa,0.106,0.5,0.17,0.239,0.186,0.353,0.591,0.115,0.064,0.131,0.464,0.164,0.175,0.175,0.131,0.125,0.078,0.619,0.208,0.101,0.076,0.091,0.197,0.395,0.107,0.24,0.196,0.405,0.028,0.367,0.377,0.112,0.036,0.131,0.385,0.083,0.028,0.193,0.12,0.306,0.06,0.308,0.237,0.062,0.05,0.09,0.501,0.221
South Korea,0.367,0.83,0.5,0.605,0.527,0.727,0.876,0.388,0.249,0.423,0.808,0.488,0.509,0.509,0.424,0.41,0.293,0.888,0.562,0.355,0.287,0.329,0.544,0.761,0.369,0.606,0.543,0.768,0.122,0.738,0.747,0.381,0.152,0.424,0.753,0.305,0.123,0.539,0.399,0.683,0.237,0.684,0.602,0.244,0.203,0.326,0.83,0.58
Czech Republic,0.274,0.761,0.395,0.5,0.422,0.635,0.821,0.293,0.178,0.324,0.734,0.384,0.403,0.403,0.325,0.312,0.213,0.838,0.456,0.264,0.208,0.242,0.438,0.675,0.277,0.501,0.437,0.684,0.083,0.648,0.658,0.287,0.105,0.325,0.666,0.223,0.084,0.433,0.303,0.584,0.169,0.585,0.497,0.174,0.142,0.24,0.762,0.474
Canada,0.342,0.814,0.473,0.578,0.5,0.705,0.863,0.363,0.229,0.396,0.791,0.461,0.481,0.481,0.398,0.384,0.271,0.876,0.534,0.33,0.265,0.305,0.517,0.74,0.344,0.58,0.516,0.748,0.111,0.716,0.726,0.356,0.139,0.398,0.733,0.282,0.111,0.512,0.373,0.658,0.218,0.66,0.576,0.225,0.186,0.303,0.814,0.553
Bosnia and Herzegovina,0.179,0.647,0.273,0.365,0.295,0.5,0.726,0.193,0.111,0.216,0.613,0.264,0.28,0.28,0.217,0.207,0.135,0.748,0.325,0.171,0.131,0.155,0.31,0.544,0.18,0.367,0.309,0.554,0.05,0.514,0.526,0.188,0.063,0.217,0.534,0.142,0.05,0.305,0.2,0.447,0.105,0.448,0.363,0.108,0.087,0.154,0.648,0.342
Qatar,0.076,0.409,0.124,0.179,0.137,0.274,0.5,0.083,0.045,0.094,0.375,0.119,0.128,0.128,0.095,0.09,0.056,0.529,0.154,0.072,0.054,0.065,0.145,0.311,0.077,0.18,0.144,0.32,0.019,0.286,0.295,0.081,0.025,0.095,0.303,0.059,0.019,0.142,0.086,0.234,0.042,0.235,0.177,0.044,0.035,0.064,0.41,0.164
Switzerland,0.477,0.885,0.612,0.707,0.637,0.807,0.917,0.5,0.343,0.536,0.869,0.601,0.62,0.62,0.537,0.523,0.395,0.926,0.669,0.464,0.388,0.436,0.653,0.834,0.48,0.708,0.652,0.839,0.18,0.816,0.823,0.493,0.221,0.537,0.828,0.409,0.18,0.648,0.512,0.772,0.329,0.773,0.705,0.338,0.286,0.433,0.885,0.685
Brazil,0.636,0.936,0.751,0.822,0.771,0.889,0.955,0.657,0.5,0.689,0.927,0.743,0.758,0.758,0.69,0.678,0.556,0.96,0.795,0.624,0.549,0.597,0.783,0.906,0.639,0.823,0.782,0.909,0.295,0.895,0.899,0.651,0.352,0.69,0.902,0.57,0.297,0.779,0.667,0.867,0.484,0.867,0.82,0.494,0.434,0.594,0.937,0.807
Morocco,0.441,0.869,0.577,0.676,0.604,0.784,0.906,0.464,0.311,0.5,0.852,0.566,0.585,0.585,0.501,0.487,0.361,0.915,0.636,0.429,0.355,0.401,0.62,0.813,0.444,0.678,0.619,0.819,0.159,0.794,0.801,0.457,0.197,0.501,0.807,0.375,0.16,0.615,0.476,0.746,0.298,0.747,0.674,0.306,0.257,0.398,0.87,0.653
Haiti,0.121,0.536,0.192,0.266,0.209,0.387,0.625,0.131,0.073,0.148,0.5,0.185,0.197,0.197,0.149,0.142,0.089,0.652,0.233,0.115,0.087,0.104,0.221,0.43,0.122,0.267,0.22,0.44,0.032,0.401,0.412,0.128,0.041,0.149,0.42,0.094,0.032,0.217,0.136,0.338,0.069,0.339,0.264,0.071,0.057,0.103,0.537,0.247
Scotland,0.377,0.836,0.512,0.616,0.539,0.736,0.881,0.399,0.257,0.434,0.815,0.5,0.52,0.52,0.436,0.422,0.303,0.892,0.573,0.365,0.297,0.339,0.556,0.769,0.38,0.617,0.554,0.776,0.127,0.747,0.756,0.392,0.159,0.436,0.762,0.315,0.128,0.55,0.41,0.692,0.246,0.694,0.613,0.253,0.21,0.336,0.837,0.591
United States,0.359,0.825,0.491,0.597,0.519,0.72,0.872,0.38,0.242,0.415,0.803,0.48,0.5,0.5,0.416,0.402,0.286,0.884,0.553,0.347,0.28,0.321,0.536,0.754,0.361,0.598,0.534,0.762,0.118,0.731,0.74,0.373,0.148,0.416,0.747,0.298,0.119,0.53,0.391,0.675,0.231,0.676,0.594,0.238,0.197,0.319,0.826,0.571
Paraguay,0.359,0.825,0.491,0.597,0.519,0.72,0.872,0.38,0.242,0.415,0.803,0.48,0.5,0.5,0.416,0.402,0.286,0.884,0.553,0.347,0.28,0.321,0.536,0.754,0.361,0.598,0.534,0.762,0.118,0.731,0.74,0.373,0.148,0.416,0.747,0.298,0.119,0.53,0.391,0.675,0.231,0.676,0.594,0.238,0.197,0.319,0.826,0.571
Australia,0.44,0.869,0.576,0.675,0.602,0.783,0.905,0.463,0.31,0.499,0.851,0.564,0.584,0.584,0.5,0.486,0.36,0.915,0.635,0.427,0.353,0.399,0.619,0.812,0.443,0.676,0.617,0.818,0.159,0.793,0.8,0.456,0.196,0.5,0.806,0.373,0.159,0.613,0.474,0.745,0.297,0.746,0.673,0.305,0.256,0.396,0.869,0.652
Turkey,0.454,0.875,0.59,0.688,0.616,0.793,0.91,0.477,0.322,0.513,0.858,0.578,0.598,0.598,0.514,0.5,0.373,0.919,0.648,0.441,0.367,0.413,0.632,0.82,0.457,0.689,0.631,0.826,0.166,0.802,0.809,0.47,0.205,0.514,0.814,0.387,0.167,0.627,0.488,0.756,0.309,0.757,0.685,0.317,0.267,0.41,0.876,0.665
Germany,0.583,0.922,0.707,0.787,0.729,0.865,0.944,0.605,0.444,0.639,0.911,0.697,0.714,0.714,0.64,0.627,0.5,0.95,0.756,0.57,0.493,0.542,0.743,0.885,0.585,0.788,0.741,0.889,0.251,0.872,0.877,0.598,0.303,0.64,0.881,0.514,0.252,0.738,0.616,0.838,0.429,0.839,0.785,0.438,0.38,0.539,0.922,0.769
Curacao,0.068,0.381,0.112,0.162,0.124,0.252,0.471,0.074,0.04,0.085,0.348,0.108,0.116,0.116,0.085,0.081,0.05,0.5,0.14,0.065,0.049,0.058,0.131,0.287,0.069,0.163,0.131,0.295,0.019,0.263,0.272,0.072,0.022,0.085,0.279,0.053,0.019,0.129,0.078,0.214,0.038,0.215,0.161,0.039,0.031,0.058,0.383,0.149
Ivory Coast,0.311,0.792,0.438,0.544,0.466,0.675,0.846,0.331,0.205,0.364,0.767,0.427,0.447,0.447,0.365,0.352,0.244,0.86,0.5,0.3,0.239,0.277,0.483,0.713,0.314,0.546,0.481,0.721,0.098,0.688,0.697,0.325,0.123,0.365,0.705,0.255,0.098,0.477,0.342,0.627,0.195,0.628,0.542,0.202,0.166,0.274,0.793,0.519
Ecuador,0.513,0.899,0.645,0.736,0.67,0.829,0.928,0.536,0.376,0.571,0.885,0.635,0.653,0.653,0.573,0.559,0.43,0.935,0.7,0.5,0.423,0.471,0.685,0.853,0.516,0.737,0.684,0.858,0.202,0.837,0.843,0.529,0.247,0.573,0.848,0.444,0.203,0.68,0.547,0.796,0.361,0.797,0.734,0.371,0.316,0.468,0.899,0.715
Netherlands,0.59,0.924,0.713,0.792,0.735,0.869,0.946,0.612,0.451,0.645,0.913,0.703,0.72,0.72,0.647,0.633,0.507,0.951,0.761,0.577,0.5,0.549,0.748,0.888,0.592,0.793,0.747,0.892,0.256,0.875,0.88,0.605,0.309,0.647,0.884,0.522,0.257,0.744,0.623,0.842,0.436,0.843,0.79,0.446,0.387,0.546,0.924,0.774
Japan,0.542,0.909,0.671,0.758,0.695,0.845,0.935,0.564,0.403,0.599,0.896,0.661,0.679,0.679,0.601,0.587,0.458,0.942,0.723,0.529,0.451,0.5,0.709,0.867,0.544,0.759,0.708,0.871,0.221,0.852,0.858,0.557,0.269,0.601,0.862,0.473,0.222,0.705,0.576,0.814,0.388,0.815,0.756,0.398,0.342,0.497,0.909,0.738
Sweden,0.326,0.803,0.456,0.562,0.483,0.69,0.855,0.347,0.217,0.38,0.779,0.444,0.464,0.464,0.381,0.368,0.257,0.869,0.517,0.315,0.252,0.291,0.5,0.727,0.329,0.563,0.499,0.735,0.104,0.702,0.712,0.34,0.131,0.381,0.719,0.269,0.105,0.494,0.357,0.643,0.206,0.644,0.559,0.213,0.175,0.288,0.804,0.536
Tunisia,0.154,0.605,0.239,0.325,0.26,0.456,0.689,0.166,0.094,0.187,0.57,0.231,0.246,0.246,0.188,0.18,0.115,0.713,0.287,0.147,0.112,0.133,0.273,0.5,0.155,0.326,0.272,0.51,0.042,0.47,0.481,0.162,0.054,0.188,0.49,0.121,0.042,0.269,0.173,0.403,0.089,0.405,0.322,0.092,0.074,0.132,0.606,0.303
Belgium,0.497,0.893,0.631,0.723,0.656,0.82,0.923,0.52,0.361,0.556,0.878,0.62,0.639,0.639,0.557,0.543,0.415,0.931,0.686,0.484,0.408,0.456,0.671,0.845,0.5,0.725,0.67,0.85,0.192,0.828,0.834,0.513,0.235,0.557,0.839,0.429,0.193,0.666,0.532,0.786,0.347,0.787,0.721,0.356,0.303,0.453,0.893,0.702
Egypt,0.273,0.76,0.394,0.499,0.42,0.633,0.82,0.292,0.177,0.322,0.733,0.383,0.402,0.402,0.324,0.311,0.212,0.837,0.454,0.263,0.207,0.241,0.437,0.674,0.275,0.5,0.436,0.683,0.083,0.647,0.657,0.286,0.105,0.324,0.665,0.222,0.083,0.431,0.301,0.583,0.168,0.584,0.496,0.174,0.142,0.239,0.761,0.473
Iran,0.327,0.804,0.457,0.563,0.484,0.691,0.856,0.348,0.218,0.381,0.78,0.446,0.466,0.466,0.383,0.369,0.259,0.869,0.519,0.316,0.253,0.292,0.501,0.728,0.33,0.564,0.5,0.736,0.105,0.703,0.713,0.342,0.131,0.383,0.72,0.27,0.105,0.496,0.359,0.644,0.207,0.645,0.56,0.214,0.176,0.289,0.805,0.537
New Zealand,0.149,0.595,0.232,0.316,0.252,0.446,0.68,0.161,0.091,0.181,0.56,0.224,0.238,0.238,0.182,0.174,0.111,0.705,0.279,0.142,0.108,0.129,0.265,0.49,0.15,0.317,0.264,0.5,0.04,0.46,0.471,0.157,0.052,0.182,0.48,0.117,0.04,0.261,0.167,0.394,0.086,0.395,0.314,0.089,0.071,0.128,0.597,0.294
Spain,0.807,0.972,0.878,0.917,0.889,0.95,0.981,0.82,0.705,0.841,0.968,0.873,0.882,0.882,0.841,0.834,0.749,0.981,0.902,0.798,0.744,0.779,0.896,0.958,0.808,0.917,0.895,0.96,0.5,0.953,0.955,0.816,0.564,0.841,0.957,0.76,0.501,0.894,0.827,0.939,0.691,0.94,0.916,0.7,0.647,0.777,0.972,0.909
Cape Verde,0.17,0.633,0.262,0.352,0.284,0.486,0.714,0.184,0.105,0.206,0.599,0.253,0.269,0.269,0.207,0.198,0.128,0.737,0.312,0.163,0.125,0.148,0.298,0.53,0.172,0.353,0.297,0.54,0.047,0.5,0.512,0.18,0.06,0.207,0.52,0.135,0.047,0.293,0.191,0.433,0.099,0.434,0.349,0.103,0.083,0.147,0.635,0.329
Saudi Arabia,0.164,0.623,0.253,0.342,0.274,0.474,0.705,0.177,0.101,0.199,0.588,0.244,0.26,0.26,0.2,0.191,0.123,0.728,0.303,0.157,0.12,0.142,0.288,0.519,0.166,0.343,0.287,0.529,0.045,0.488,0.5,0.173,0.057,0.2,0.509,0.13,0.045,0.284,0.184,0.422,0.095,0.423,0.339,0.099,0.079,0.141,0.624,0.319
Uruguay,0.484,0.888,0.619,0.713,0.644,0.812,0.919,0.507,0.349,0.543,0.872,0.608,0.627,0.627,0.544,0.53,0.402,0.928,0.675,0.471,0.395,0.443,0.66,0.838,0.487,0.714,0.658,0.843,0.184,0.82,0.827,0.5,0.226,0.544,0.832,0.416,0.185,0.655,0.519,0.777,0.335,0.778,0.711,0.344,0.292,0.44,0.888,0.691
France,0.763,0.964,0.848,0.895,0.861,0.937,0.975,0.779,0.648,0.803,0.959,0.841,0.852,0.852,0.804,0.795,0.697,0.978,0.877,0.753,0.691,0.731,0.869,0.946,0.765,0.895,0.869,0.948,0.436,0.94,0.943,0.774,0.5,0.804,0.944,0.709,0.437,0.867,0.787,0.923,0.633,0.923,0.894,0.643,0.585,0.729,0.965,0.885
Senegal,0.44,0.869,0.576,0.675,0.602,0.783,0.905,0.463,0.31,0.499,0.851,0.564,0.584,0.584,0.5,0.486,0.36,0.915,0.635,0.427,0.353,0.399,0.619,0.812,0.443,0.676,0.617,0.818,0.159,0.793,0.8,0.456,0.196,0.5,0.806,0.373,0.159,0.613,0.474,0.745,0.297,0.746,0.673,0.305,0.256,0.396,0.869,0.652
Iraq,0.159,0.615,0.247,0.334,0.267,0.466,0.697,0.172,0.098,0.193,0.58,0.238,0.253,0.253,0.194,0.186,0.119,0.721,0.295,0.152,0.116,0.138,0.281,0.51,0.161,0.335,0.28,0.52,0.043,0.48,0.491,0.168,0.056,0.194,0.5,0.126,0.044,0.277,0.179,0.413,0.092,0.415,0.331,0.096,0.077,0.137,0.616,0.311
Norway,0.569,0.917,0.695,0.777,0.718,0.858,0.941,0.591,0.43,0.625,0.906,0.685,0.702,0.702,0.627,0.613,0.486,0.947,0.745,0.556,0.478,0.527,0.731,0.879,0.571,0.778,0.73,0.883,0.24,0.865,0.87,0.584,0.291,0.627,0.874,0.5,0.241,0.727,0.602,0.83,0.415,0.831,0.775,0.424,0.367,0.524,0.918,0.759
Argentina,0.806,0.972,0.877,0.916,0.889,0.95,0.981,0.82,0.703,0.84,0.968,0.872,0.881,0.881,0.841,0.833,0.748,0.981,0.902,0.797,0.743,0.778,0.895,0.958,0.807,0.917,0.895,0.96,0.499,0.953,0.955,0.815,0.563,0.841,0.956,0.759,0.5,0.893,0.826,0.939,0.69,0.939,0.916,0.699,0.645,0.776,0.972,0.908
Algeria,0.331,0.807,0.461,0.567,0.488,0.695,0.858,0.352,0.221,0.385,0.783,0.45,0.47,0.47,0.387,0.373,0.262,0.871,0.523,0.32,0.256,0.295,0.506,0.731,0.334,0.569,0.504,0.739,0.106,0.707,0.716,0.345,0.133,0.387,0.723,0.273,0.107,0.5,0.363,0.648,0.21,0.649,0.564,0.217,0.179,0.293,0.807,0.542
Austria,0.466,0.88,0.601,0.697,0.627,0.8,0.914,0.488,0.333,0.524,0.864,0.59,0.609,0.609,0.526,0.512,0.384,0.922,0.658,0.453,0.377,0.424,0.643,0.827,0.468,0.699,0.641,0.833,0.173,0.809,0.816,0.481,0.213,0.526,0.821,0.398,0.174,0.637,0.5,0.764,0.319,0.765,0.695,0.327,0.277,0.422,0.881,0.675
Jordan,0.212,0.694,0.317,0.416,0.342,0.553,0.766,0.228,0.133,0.254,0.662,0.308,0.325,0.325,0.255,0.244,0.162,0.786,0.373,0.204,0.158,0.186,0.357,0.597,0.214,0.417,0.356,0.606,0.061,0.567,0.578,0.223,0.077,0.255,0.587,0.17,0.061,0.352,0.236,0.5,0.126,0.501,0.413,0.131,0.106,0.184,0.695,0.391
Portugal,0.651,0.94,0.763,0.831,0.782,0.895,0.958,0.671,0.516,0.702,0.931,0.754,0.769,0.769,0.703,0.691,0.571,0.962,0.805,0.639,0.564,0.612,0.794,0.911,0.653,0.832,0.793,0.914,0.309,0.901,0.905,0.665,0.367,0.703,0.908,0.585,0.31,0.79,0.681,0.874,0.5,0.874,0.83,0.51,0.45,0.609,0.94,0.816
DR Congo,0.211,0.692,0.316,0.415,0.34,0.552,0.765,0.227,0.133,0.253,0.661,0.306,0.324,0.324,0.254,0.243,0.161,0.785,0.372,0.203,0.157,0.185,0.356,0.595,0.213,0.416,0.355,0.605,0.06,0.566,0.577,0.222,0.077,0.254,0.585,0.169,0.061,0.351,0.235,0.499,0.126,0.5,0.412,0.13,0.105,0.183,0.694,0.39
Uzbekistan,0.277,0.763,0.398,0.503,0.424,0.637,0.823,0.295,0.18,0.326,0.736,0.387,0.406,0.406,0.327,0.315,0.215,0.839,0.458,0.266,0.21,0.244,0.441,0.678,0.279,0.504,0.44,0.686,0.084,0.651,0.661,0.289,0.106,0.327,0.669,0.225,0.084,0.436,0.305,0.587,0.17,0.588,0.5,0.176,0.144,0.242,0.764,0.477
Colombia,0.641,0.938,0.756,0.826,0.775,0.892,0.956,0.662,0.506,0.694,0.929,0.747,0.762,0.762,0.695,0.683,0.562,0.961,0.798,0.629,0.554,0.602,0.787,0.908,0.644,0.826,0.786,0.911,0.3,0.897,0.901,0.656,0.357,0.695,0.904,0.576,0.301,0.783,0.673,0.869,0.49,0.87,0.824,0.5,0.44,0.599,0.938,0.81
England,0.695,0.95,0.797,0.858,0.814,0.913,0.965,0.714,0.566,0.743,0.943,0.79,0.803,0.803,0.744,0.733,0.62,0.969,0.834,0.684,0.613,0.658,0.825,0.926,0.697,0.858,0.824,0.929,0.353,0.917,0.921,0.708,0.415,0.744,0.923,0.633,0.355,0.821,0.723,0.894,0.55,0.895,0.856,0.56,0.5,0.656,0.951,0.845
Croatia,0.544,0.91,0.674,0.76,0.697,0.846,0.936,0.567,0.406,0.602,0.897,0.664,0.681,0.681,0.604,0.59,0.461,0.942,0.726,0.532,0.454,0.503,0.712,0.868,0.547,0.761,0.711,0.872,0.223,0.853,0.859,0.56,0.271,0.604,0.863,0.476,0.224,0.707,0.578,0.816,0.391,0.817,0.758,0.401,0.344,0.5,0.91,0.74
