rank,team,group,confederation,elo,host,E_pts_mc,P_win_group,P_runner_up,P_third,P_top2,P_reach_R32,P_reach_R16,P_reach_QF,P_reach_SF,P_reach_Final,P_champion,E_pts_analytic,P_market,P_consensus,value_vs_market,champ_SE
1,Spain,H,UEFA,2129.0,0,7.928795,0.835645,0.14952,0.013445,0.985165,0.997275,0.77878,0.59391,0.48834,0.31105,0.210455,8.022,0.14196917156397817,0.18447021078825868,0.06848582843602183,0.0009114924381886006
2,France,I,UEFA,2084.0,0,7.02993,0.66962,0.24188,0.080115,0.9115,0.982935,0.812125,0.60631,0.43944,0.297535,0.158445,7.1379,0.17036300587677386,0.17062625884042235,-0.011918005876773857,0.0008165175502553512
3,Argentina,J,CONMEBOL,2128.0,0,7.686295,0.82538,0.14195,0.02823,0.96733,0.992765,0.769065,0.65908,0.49907,0.322375,0.21771,7.7934,0.08518150293838693,0.15145210259813638,0.13252849706161307,0.0009228010508771649
4,England,L,UEFA,2024.0,0,7.03482,0.639645,0.283505,0.07048,0.92315,0.98544,0.725295,0.459865,0.288425,0.158905,0.076045,7.1248,0.10647687867298365,0.09234074950315316,-0.03043187867298365,0.0005927147626599155
5,Portugal,K,UEFA,1989.0,0,6.28455,0.48134,0.384085,0.107785,0.865425,0.953915,0.648275,0.386085,0.19728,0.091275,0.04596,6.3656,0.09464611437598545,0.0666013284350602,-0.048686114375985454,0.00046822899525766237
6,Brazil,C,CONMEBOL,1978.0,0,6.716695,0.615145,0.26153,0.108925,0.876675,0.972265,0.592515,0.366735,0.194375,0.1007,0.04083,6.815,0.0774377299439881,0.05692717763418742,-0.03660772994398811,0.00044250938464624677
7,Germany,E,UEFA,1939.0,0,6.495485,0.518385,0.3327,0.139245,0.851085,0.974005,0.616515,0.27672,0.14883,0.068335,0.02376,6.5666,0.05678766862559127,0.03678179590654521,-0.03302766862559127,0.000340554418558914
8,Netherlands,F,UEFA,1944.0,0,6.18089,0.494505,0.333115,0.141955,0.82762,0.946725,0.55358,0.345335,0.15694,0.073955,0.0267,6.2628,0.044832369967572054,0.035176473484088505,-0.018132369967572053,0.0003604657403970591
9,Colombia,K,CONMEBOL,1982.0,0,6.19913,0.459785,0.396605,0.115225,0.85639,0.950595,0.636645,0.36933,0.18612,0.08369,0.04103,6.2711,0.01851771803008411,0.029960590852410842,0.022512281969915886,0.00044354559573960375
10,Norway,I,UEFA,1929.0,0,5.059005,0.226115,0.43464,0.28316,0.660755,0.88081,0.539035,0.29334,0.14275,0.05985,0.020995,5.0791,0.030421965335138183,0.025865889663662586,-0.009426965335138184,0.0003205792411791506
11,Mexico,A,CONCACAF,1881.0,1,6.9403,0.6676,0.23674,0.082855,0.90434,0.97703,0.693755,0.34249,0.1661,0.07803,0.02825,7.0544,0.01670225547811508,0.02325850657733109,0.01154774452188492,0.00037048574533981736
12,Japan,F,AFC,1910.0,0,5.714225,0.3887,0.379585,0.185115,0.768285,0.918265,0.48593,0.276355,0.115615,0.04876,0.016115,5.7762,0.01851771803008411,0.01787917604642563,-0.0024027180300841104,0.0002815608883971636
13,Belgium,G,UEFA,1879.0,0,6.327825,0.578575,0.260155,0.12168,0.83873,0.941075,0.57977,0.27538,0.08381,0.02718,0.010285,6.437,0.023661528593996364,0.015615735793692409,-0.013376528593996363,0.00022560162649014746
14,Croatia,L,UEFA,1912.0,0,5.668965,0.30011,0.48335,0.188665,0.78346,0.93656,0.49877,0.22205,0.109485,0.04332,0.015595,5.7105,0.011208092491893014,0.014010339808975975,0.004386907508106986,0.0002770541100128276
15,United States,D,CONCACAF,1780.0,1,4.41783,0.284055,0.26254,0.24376,0.546595,0.73303,0.418675,0.166715,0.05188,0.01567,0.005225,4.4042,0.020775976326435835,0.010159870115698709,-0.015550976326435834,0.00016120948134337506
16,Switzerland,B,UEFA,1865.0,0,6.46837,0.516825,0.35771,0.108495,0.874535,0.96633,0.60268,0.24112,0.074085,0.02429,0.007625,6.5515,0.010516234930665051,0.009184538450410212,-0.0028912349306650514,0.00019451040299942827
17,Morocco,C,CAF,1840.0,0,4.863415,0.22647,0.382165,0.316125,0.608635,0.852645,0.314165,0.148985,0.0518,0.017325,0.004325,4.8746,0.020775976326435835,0.009160881037844272,-0.016450976326435836,0.00014673606194456765
18,Ecuador,E,CONMEBOL,1890.0,0,5.882665,0.372465,0.40337,0.205885,0.775835,0.951515,0.512925,0.20334,0.09355,0.03731,0.01161,5.9154,0.006088931214863002,0.009053845196011495,0.0055210687851369985,0.00023953296119741017
19,Uruguay,H,CONMEBOL,1870.0,0,5.19804,0.14928,0.639065,0.164615,0.788345,0.90239,0.27339,0.143725,0.06332,0.019345,0.00694,5.2442,0.011208092491893014,0.00897604034226168,-0.0042680924918930135,0.00018563184532832723
20,Turkey,D,UEFA,1849.0,0,4.46451,0.291065,0.26471,0.2406,0.555775,0.740365,0.42786,0.17263,0.05354,0.01612,0.00522,4.4734,0.003860964460052581,0.004749986132450235,0.001359035539947419,0.00016113273410452638
21,Austria,J,UEFA,1857.0,0,4.407965,0.119035,0.48218,0.280425,0.601215,0.790155,0.254715,0.122495,0.048805,0.013885,0.004745,4.4259,0.004219876664812345,0.0046909024014702505,0.0005251233351876551,0.0001536633491597785
22,Senegal,I,CAF,1839.0,0,3.86258,0.09967,0.288135,0.475255,0.387805,0.721375,0.33894,0.148245,0.051155,0.016085,0.004465,3.829,0.003454942799678014,0.004146221187935594,0.0010100572003219864,0.00014908158462734425
23,Australia,D,AFC,1839.0,0,4.31113,0.267345,0.262915,0.24831,0.53026,0.719375,0.40355,0.1572,0.04781,0.01381,0.004245,4.301,0.003454942799678014,0.004032535286881983,0.0007900572003219858,0.00014537847115374407
24,Canada,B,CONCACAF,1767.0,1,6.054165,0.41344,0.4171,0.14357,0.83054,0.9484,0.54085,0.196365,0.05421,0.016015,0.004255,6.1126,0.0015524058692635752,0.002817939447353576,0.002702594130736425,0.0001455488745233023
25,South Korea,A,AFC,1786.0,0,4.828385,0.21395,0.414095,0.2866,0.628045,0.843415,0.397415,0.12517,0.033735,0.00925,0.001925,4.8464,0.0019172982093230465,0.0020025598824802374,7.70179067695353e-06,9.801261079575423e-05
26,Scotland,C,UEFA,1794.0,0,4.22953,0.15124,0.31552,0.415535,0.46676,0.772435,0.22914,0.095565,0.02947,0.008355,0.001785,4.2075,0.002095528735558118,0.0019995123008902074,-0.0003105287355581181,9.438786402393053e-05
27,Paraguay,D,CONMEBOL,1780.0,0,3.38144,0.157535,0.209835,0.26733,0.36737,0.55968,0.25901,0.08069,0.02069,0.00469,0.001155,3.3041,0.0017936458672103224,0.0014674213131943546,-0.0006386458672103224,7.594952188789605e-05
28,Iran,G,AFC,1756.0,0,4.53308,0.23081,0.34006,0.28182,0.57087,0.779855,0.31982,0.08664,0.01828,0.003805,0.000875,4.5461,0.0013738041986870214,0.00111717402431741,-0.0004988041986870214,6.611483853871231e-05
29,Sweden,F,UEFA,1755.0,0,3.540975,0.103,0.228725,0.456285,0.331725,0.643175,0.20378,0.06912,0.015965,0.00408,0.00077,3.493,0.0013586241971051552,0.0010361450488844623,-0.0005886241971051553,6.202447500785476e-05
30,Algeria,J,CAF,1759.0,0,3.105195,0.044,0.26397,0.41296,0.30797,0.55204,0.141315,0.05125,0.01287,0.00275,0.00065,3.0548,0.0014203694479469429,0.0009630587444989812,-0.0007703694479469429,5.699024039254441e-05
31,Ivory Coast,E,CAF,1743.0,0,3.973335,0.107315,0.249915,0.54959,0.35723,0.76006,0.233485,0.05688,0.01503,0.00368,0.00053,3.934,0.0011890316479125783,0.000794611611439634,-0.0006590316479125783,5.146450718699247e-05
32,Panama,L,CONCACAF,1730.0,0,3.35991,0.05723,0.205795,0.56279,0.263025,0.630555,0.148735,0.04202,0.01002,0.00203,0.000375,3.3124,0.0010291104519034818,0.0006155985027995319,-0.0006541104519034818,4.329315043976356e-05
33,Czech Republic,A,UEFA,1712.0,0,3.813045,0.109035,0.290535,0.430525,0.39957,0.69803,0.245625,0.059085,0.011565,0.00245,0.00036,3.7746,0.0008425643752873597,0.0005501073669495921,-0.0004825643752873597,4.24187694305245e-05
34,Egypt,G,CAF,1711.0,0,3.869375,0.1532,0.285445,0.343235,0.438645,0.68174,0.233295,0.05141,0.00878,0.001355,0.000305,3.8357,0.000833254366945625,0.0004996669130056385,-0.0005282543669456251,3.9045292609993333e-05
35,Uzbekistan,K,AFC,1714.0,0,2.596365,0.040485,0.13883,0.447825,0.179315,0.440305,0.10317,0.026665,0.00673,0.00133,0.000275,2.5164,0.0008614976182989284,0.0004791483427511995,-0.0005864976182989284,3.707589344843898e-05
36,DR Congo,K,CAF,1652.0,0,1.838355,0.01839,0.08048,0.329165,0.09887,0.268765,0.04687,0.00942,0.00186,0.000325,6e-05,1.7431,0.000432586974159532,0.000152121285354863,-0.000372586974159532,1.7319988452652043e-05
37,Bosnia and Herzegovina,B,UEFA,1616.0,0,3.19482,0.062125,0.184195,0.52648,0.24632,0.58311,0.13439,0.024145,0.002595,0.000365,2.5e-05,3.1384,0.0002899717204330354,7.850462356293808e-05,-0.0002649717204330354,1.118020013237688e-05
38,Saudi Arabia,H,AFC,1598.0,0,1.955715,0.00713,0.101615,0.405525,0.108745,0.287735,0.034885,0.00693,0.00078,9.5e-05,2.5e-05,1.8757,0.00023740876504145707,7.174659143836021e-05,-0.00021240876504145705,1.118020013237688e-05
39,Iraq,I,AFC,1592.0,0,1.038435,0.004595,0.035345,0.16147,0.03994,0.11188,0.020805,0.004105,0.000435,6e-05,2e-05,0.9345,0.0002220975580040133,6.158457934951603e-05,-0.0002020975580040133,9.999899999499995e-06
40,Tunisia,F,CAF,1585.0,0,1.43883,0.013795,0.058575,0.216645,0.07237,0.18531,0.02864,0.00486,0.000575,7e-05,1e-05,1.3201,0.00020547799707987645,4.061704045897128e-05,-0.00019547799707987645,7.0710324564380276e-06
41,New Zealand,G,OFC,1578.0,0,2.032755,0.037415,0.11434,0.253265,0.151755,0.30255,0.0573,0.006635,0.00058,7.5e-05,1e-05,1.9037,0.00019010207794898298,3.921981542051676e-05,-0.00018010207794898298,7.0710324564380276e-06
42,Jordan,J,AFC,1653.0,0,1.78241,0.011585,0.1119,0.278385,0.123485,0.25701,0.044835,0.01093,0.00172,0.000235,5e-06,1.6908,0.0004374202981692385,3.898043965472749e-05,-0.00043242029816923847,4.999987499984375e-06
43,Cape Verde,H,CAF,1606.0,0,2.031315,0.007945,0.1098,0.416415,0.117745,0.30553,0.03846,0.008275,0.00106,0.000105,5e-06,1.9679,0.00025947809620778485,3.081457236459391e-05,-0.00025447809620778483,4.999987499984375e-06
44,Haiti,C,CONCACAF,1536.0,0,1.11729,0.007145,0.040785,0.159415,0.04793,0.125455,0.010345,0.00161,0.00023,3.5e-05,5e-06,1.0113,0.000119210938169535,2.171348090871139e-05,-0.000114210938169535,4.999987499984375e-06
45,South Africa,A,CAF,1511.0,0,1.3412,0.009415,0.05863,0.20002,0.068045,0.16746,0.02453,0.00242,0.000175,2e-05,0.0,1.2287,9.029812858690963e-05,1.7701548861799444e-07,-9.029812858690963e-05,0.0
46,Ghana,L,CAF,1510.0,0,0.98515,0.003015,0.02735,0.178065,0.030365,0.101745,0.007615,0.000945,8e-05,1e-05,0.0,0.8952,8.930036941853693e-05,1.7613254124536195e-07,-8.930036941853693e-05,0.0
47,Qatar,B,AFC,1447.0,0,1.257305,0.00761,0.040995,0.221455,0.048605,0.14955,0.01481,0.001265,3.5e-05,1.5e-05,0.0,1.1533,4.434525107638925e-05,1.2853697439018882e-07,-4.434525107638925e-05,0.0
48,Curacao,E,CONCACAF,1427.0,0,0.69356,0.001835,0.014015,0.10528,0.01585,0.05737,0.00392,0.00016,5e-06,0.0,0.0,0.6143,3.550890117860171e-05,1.163046029064336e-07,-3.550890117860171e-05,0.0
