team,group,elo,E_pts_mc,P_win_group,P_runner_up,P_third,P_top2,P_reach_R32
Mexico,A,1881.0,6.9403,0.6676,0.23674,0.082855,0.90434,0.97703
South Korea,A,1786.0,4.828385,0.21395,0.414095,0.2866,0.628045,0.843415
Czech Republic,A,1712.0,3.813045,0.109035,0.290535,0.430525,0.39957,0.69803
South Africa,A,1511.0,1.3412,0.009415,0.05863,0.20002,0.068045,0.16746
Switzerland,B,1865.0,6.46837,0.516825,0.35771,0.108495,0.874535,0.96633
Canada,B,1767.0,6.054165,0.41344,0.4171,0.14357,0.83054,0.9484
Bosnia and Herzegovina,B,1616.0,3.19482,0.062125,0.184195,0.52648,0.24632,0.58311
Qatar,B,1447.0,1.257305,0.00761,0.040995,0.221455,0.048605,0.14955
Brazil,C,1978.0,6.716695,0.615145,0.26153,0.108925,0.876675,0.972265
Morocco,C,1840.0,4.863415,0.22647,0.382165,0.316125,0.608635,0.852645
Scotland,C,1794.0,4.22953,0.15124,0.31552,0.415535,0.46676,0.772435
Haiti,C,1536.0,1.11729,0.007145,0.040785,0.159415,0.04793,0.125455
Turkey,D,1849.0,4.46451,0.291065,0.26471,0.2406,0.555775,0.740365
United States,D,1780.0,4.41783,0.284055,0.26254,0.24376,0.546595,0.73303
Australia,D,1839.0,4.31113,0.267345,0.262915,0.24831,0.53026,0.719375
Paraguay,D,1780.0,3.38144,0.157535,0.209835,0.26733,0.36737,0.55968
Germany,E,1939.0,6.495485,0.518385,0.3327,0.139245,0.851085,0.974005
Ecuador,E,1890.0,5.882665,0.372465,0.40337,0.205885,0.775835,0.951515
Ivory Coast,E,1743.0,3.973335,0.107315,0.249915,0.54959,0.35723,0.76006
Curacao,E,1427.0,0.69356,0.001835,0.014015,0.10528,0.01585,0.05737
Netherlands,F,1944.0,6.18089,0.494505,0.333115,0.141955,0.82762,0.946725
Japan,F,1910.0,5.714225,0.3887,0.379585,0.185115,0.768285,0.918265
Sweden,F,1755.0,3.540975,0.103,0.228725,0.456285,0.331725,0.643175
Tunisia,F,1585.0,1.43883,0.013795,0.058575,0.216645,0.07237,0.18531
Belgium,G,1879.0,6.327825,0.578575,0.260155,0.12168,0.83873,0.941075
Iran,G,1756.0,4.53308,0.23081,0.34006,0.28182,0.57087,0.779855
Egypt,G,1711.0,3.869375,0.1532,0.285445,0.343235,0.438645,0.68174
New Zealand,G,1578.0,2.032755,0.037415,0.11434,0.253265,0.151755,0.30255
Spain,H,2129.0,7.928795,0.835645,0.14952,0.013445,0.985165,0.997275
Uruguay,H,1870.0,5.19804,0.14928,0.639065,0.164615,0.788345,0.90239
Cape Verde,H,1606.0,2.031315,0.007945,0.1098,0.416415,0.117745,0.30553
Saudi Arabia,H,1598.0,1.955715,0.00713,0.101615,0.405525,0.108745,0.287735
France,I,2084.0,7.02993,0.66962,0.24188,0.080115,0.9115,0.982935
Norway,I,1929.0,5.059005,0.226115,0.43464,0.28316,0.660755,0.88081
Senegal,I,1839.0,3.86258,0.09967,0.288135,0.475255,0.387805,0.721375
Iraq,I,1592.0,1.038435,0.004595,0.035345,0.16147,0.03994,0.11188
Argentina,J,2128.0,7.686295,0.82538,0.14195,0.02823,0.96733,0.992765
Austria,J,1857.0,4.407965,0.119035,0.48218,0.280425,0.601215,0.790155
Algeria,J,1759.0,3.105195,0.044,0.26397,0.41296,0.30797,0.55204
Jordan,J,1653.0,1.78241,0.011585,0.1119,0.278385,0.123485,0.25701
Portugal,K,1989.0,6.28455,0.48134,0.384085,0.107785,0.865425,0.953915
Colombia,K,1982.0,6.19913,0.459785,0.396605,0.115225,0.85639,0.950595
Uzbekistan,K,1714.0,2.596365,0.040485,0.13883,0.447825,0.179315,0.440305
DR Congo,K,1652.0,1.838355,0.01839,0.08048,0.329165,0.09887,0.268765
England,L,2024.0,7.03482,0.639645,0.283505,0.07048,0.92315,0.98544
Croatia,L,1912.0,5.668965,0.30011,0.48335,0.188665,0.78346,0.93656
Panama,L,1730.0,3.35991,0.05723,0.205795,0.56279,0.263025,0.630555
Ghana,L,1510.0,0.98515,0.003015,0.02735,0.178065,0.030365,0.101745
