group,teamA,teamB,P_A_win,P_draw,P_B_win,xG_A,xG_B
A,Mexico,South Africa,0.8772,0.0945,0.0283,2.852,0.37
A,Mexico,South Korea,0.6076,0.2152,0.1771,1.947,0.945
A,Mexico,Czech Republic,0.7029,0.1815,0.1156,2.212,0.769
A,South Africa,South Korea,0.0894,0.162,0.7486,0.677,2.353
A,South Africa,Czech Republic,0.1407,0.197,0.6623,0.846,2.095
A,South Korea,Czech Republic,0.4821,0.2457,0.2723,1.627,1.161
B,Canada,Bosnia and Herzegovina,0.6811,0.19,0.1288,2.149,0.811
B,Canada,Qatar,0.845,0.1133,0.0416,2.705,0.457
B,Canada,Switzerland,0.3254,0.2544,0.4201,1.266,1.473
B,Bosnia and Herzegovina,Qatar,0.62,0.2114,0.1686,1.98,0.923
B,Bosnia and Herzegovina,Switzerland,0.1054,0.1744,0.7202,0.735,2.264
B,Qatar,Switzerland,0.0324,0.1006,0.867,0.399,2.803
C,Brazil,Morocco,0.5766,0.2243,0.1991,1.866,0.999
C,Brazil,Haiti,0.8812,0.092,0.0268,2.872,0.359
C,Brazil,Scotland,0.6402,0.2047,0.1551,2.034,0.887
C,Morocco,Haiti,0.7777,0.1484,0.0738,2.449,0.616
C,Morocco,Scotland,0.4398,0.2521,0.3081,1.522,1.233
C,Haiti,Scotland,0.0996,0.1701,0.7303,0.715,2.295
D,United States,Paraguay,0.4685,0.2479,0.2836,1.594,1.184
D,United States,Australia,0.3798,0.2577,0.3625,1.372,1.335
D,United States,Turkey,0.3653,0.2579,0.3768,1.34,1.365
D,Paraguay,Australia,0.2912,0.2494,0.4594,1.2,1.571
D,Paraguay,Turkey,0.2785,0.247,0.4745,1.174,1.609
D,Australia,Turkey,0.3569,0.2574,0.3857,1.325,1.387
E,Germany,Curacao,0.915,0.0702,0.0147,3.063,0.251
E,Germany,Ivory Coast,0.6559,0.1993,0.1448,2.077,0.858
E,Germany,Ecuador,0.4443,0.2515,0.3042,1.533,1.225
E,Curacao,Ivory Coast,0.0681,0.1429,0.789,0.591,2.488
E,Curacao,Ecuador,0.0226,0.085,0.8925,0.325,2.931
E,Ivory Coast,Ecuador,0.1899,0.2206,0.5894,0.977,1.899
F,Netherlands,Japan,0.4216,0.2543,0.3241,1.477,1.264
F,Netherlands,Sweden,0.6468,0.2025,0.1508,2.052,0.875
F,Netherlands,Tunisia,0.8256,0.124,0.0504,2.625,0.506
F,Japan,Sweden,0.6007,0.2173,0.182,1.929,0.957
F,Japan,Tunisia,0.7971,0.1389,0.064,2.517,0.573
F,Sweden,Tunisia,0.6214,0.2109,0.1677,1.983,0.921
G,Belgium,Egypt,0.6186,0.2118,0.1696,1.976,0.925
G,Belgium,Iran,0.555,0.23,0.215,1.811,1.037
G,Belgium,New Zealand,0.7748,0.1498,0.0753,2.439,0.622
G,Egypt,Iran,0.3094,0.2523,0.4382,1.236,1.518
G,Egypt,New Zealand,0.5695,0.2262,0.2043,1.848,1.012
G,Iran,New Zealand,0.6322,0.2074,0.1604,2.013,0.901
H,Spain,Cape Verde,0.9194,0.0672,0.0133,3.092,0.236
H,Spain,Saudi Arabia,0.9225,0.0651,0.0124,3.112,0.225
H,Spain,Uruguay,0.7314,0.1696,0.099,2.298,0.713
H,Cape Verde,Saudi Arabia,0.3827,0.2576,0.3597,1.38,1.33
H,Cape Verde,Uruguay,0.0959,0.1672,0.7369,0.702,2.315
H,Saudi Arabia,Uruguay,0.0911,0.1634,0.7455,0.684,2.342
I,France,Senegal,0.7157,0.1763,0.108,2.25,0.744
I,France,Iraq,0.9064,0.076,0.0176,3.01,0.28
I,France,Norway,0.6007,0.2173,0.182,1.929,0.957
I,Senegal,Iraq,0.718,0.1753,0.1067,2.257,0.739
I,Senegal,Norway,0.2528,0.2411,0.5062,1.121,1.687
I,Iraq,Norway,0.0589,0.1335,0.8076,0.549,2.556
J,Argentina,Algeria,0.8333,0.1198,0.0469,2.656,0.487
J,Argentina,Austria,0.7444,0.1639,0.0917,2.339,0.686
J,Argentina,Jordan,0.8984,0.0811,0.0204,2.964,0.306
J,Algeria,Austria,0.2433,0.2386,0.5181,1.1,1.717
J,Algeria,Jordan,0.53,0.236,0.234,1.747,1.08
J,Austria,Jordan,0.6661,0.1956,0.1383,2.106,0.839
K,Portugal,DR Congo,0.8076,0.1335,0.0589,2.556,0.549
K,Portugal,Uzbekistan,0.7486,0.162,0.0894,2.353,0.677
K,Portugal,Colombia,0.3813,0.2576,0.3611,1.376,1.332
K,DR Congo,Uzbekistan,0.2874,0.2487,0.464,1.192,1.582
K,DR Congo,Colombia,0.0618,0.1366,0.8015,0.563,2.533
K,Uzbekistan,Colombia,0.0935,0.1653,0.7412,0.693,2.329
L,England,Croatia,0.5389,0.2339,0.2272,1.77,1.065
L,England,Ghana,0.9158,0.0697,0.0145,3.068,0.249
L,England,Panama,0.768,0.1531,0.0789,2.416,0.637
L,Croatia,Ghana,0.8567,0.1066,0.0366,2.756,0.427
L,Croatia,Panama,0.6375,0.2056,0.1569,2.027,0.891
L,Ghana,Panama,0.1258,0.1881,0.6861,0.801,2.163
