group,team,elo,p_win_m1,p_win_m2,p_win_m3,p_draw_avg,p_loss_avg,E_points_analytic,PB_P_0win,PB_P_1win,PB_P_2win,PB_P_3win,P_pts_0,P_pts_1,P_pts_2,P_pts_3,P_pts_4,P_pts_5,P_pts_6,P_pts_7,P_pts_8,P_pts_9
A,Mexico,1881.0,0.8772,0.6076,0.7029,0.1637,0.107,7.0544,0.0143,0.1583,0.4527,0.3746,0.0006,0.0036,0.0065,0.0272,0.0758,0.059,0.1829,0.2698,0.0,0.3746
A,South Africa,1511.0,0.0283,0.0894,0.1407,0.1512,0.7627,1.2287,0.7603,0.2213,0.018,0.0004,0.4349,0.2703,0.0521,0.1614,0.0582,0.0047,0.0157,0.0023,0.0,0.0004
A,South Korea,1786.0,0.1771,0.7486,0.4821,0.2076,0.3231,4.8464,0.1071,0.4418,0.3871,0.0639,0.0148,0.0454,0.0384,0.1629,0.224,0.0634,0.263,0.1241,0.0,0.0639
A,Czech Republic,1712.0,0.1156,0.6623,0.2723,0.2081,0.4419,3.7746,0.2173,0.536,0.2258,0.0208,0.0477,0.1034,0.0575,0.268,0.2319,0.0449,0.1681,0.0577,0.0,0.0208
B,Canada,1767.0,0.6811,0.845,0.3254,0.1859,0.1969,6.1126,0.0333,0.269,0.5103,0.1873,0.0023,0.0108,0.0148,0.0649,0.1421,0.0675,0.2865,0.2238,0.0,0.1873
B,Bosnia and Herzegovina,1616.0,0.1288,0.62,0.1054,0.1919,0.5233,3.1384,0.2962,0.5619,0.1335,0.0084,0.0827,0.1468,0.0596,0.3389,0.2004,0.0295,0.1043,0.0292,0.0,0.0084
B,Qatar,1447.0,0.0416,0.1686,0.0324,0.1418,0.7773,1.1533,0.7709,0.2157,0.0132,0.0002,0.4542,0.2685,0.0458,0.1653,0.0492,0.0036,0.0115,0.0016,0.0,0.0002
B,Switzerland,1865.0,0.4201,0.7202,0.867,0.1765,0.1544,6.5515,0.0216,0.2118,0.5042,0.2624,0.0011,0.0062,0.0098,0.0432,0.1088,0.0643,0.2514,0.2528,0.0,0.2624
C,Brazil,1978.0,0.5766,0.8812,0.6402,0.1737,0.127,6.815,0.0181,0.1911,0.4655,0.3253,0.0008,0.0049,0.0082,0.0372,0.0935,0.0645,0.201,0.2645,0.0,0.3253
C,Morocco,1840.0,0.1991,0.7777,0.4398,0.2083,0.3195,4.8746,0.0997,0.452,0.3801,0.0681,0.0131,0.0422,0.036,0.1698,0.2245,0.0661,0.2514,0.1287,0.0,0.0681
C,Haiti,1536.0,0.0268,0.0738,0.0996,0.1368,0.7964,1.0113,0.8116,0.1768,0.0114,0.0002,0.5005,0.2644,0.0444,0.1333,0.0426,0.0032,0.01,0.0014,0.0,0.0002
C,Scotland,1794.0,0.1551,0.3081,0.7303,0.209,0.3932,4.2075,0.1577,0.5261,0.2814,0.0349,0.028,0.0729,0.0479,0.2408,0.239,0.0551,0.1986,0.0828,0.0,0.0349
D,United States,1780.0,0.4685,0.3798,0.3653,0.2545,0.341,4.4042,0.2092,0.433,0.2928,0.065,0.0387,0.0879,0.0661,0.1586,0.2121,0.0788,0.1684,0.1244,0.0,0.065
D,Paraguay,1780.0,0.2836,0.2912,0.2785,0.2481,0.4675,3.3041,0.3664,0.437,0.1737,0.023,0.1021,0.1626,0.0863,0.2018,0.1979,0.0525,0.1135,0.0602,0.0,0.023
D,Australia,1839.0,0.3625,0.4594,0.3569,0.2548,0.3522,4.301,0.2216,0.4374,0.2816,0.0594,0.0427,0.0939,0.0685,0.164,0.2132,0.0767,0.1642,0.1174,0.0,0.0594
D,Turkey,1849.0,0.3768,0.4745,0.3857,0.2541,0.3336,4.4734,0.2012,0.4296,0.3003,0.069,0.0363,0.084,0.0644,0.155,0.211,0.08,0.1712,0.1291,0.0,0.069
E,Germany,1939.0,0.915,0.6559,0.4443,0.1737,0.1546,6.5666,0.0163,0.219,0.4982,0.2666,0.0006,0.0045,0.0076,0.0477,0.1111,0.0637,0.2457,0.2524,0.0,0.2666
E,Curacao,1427.0,0.0147,0.0681,0.0226,0.0994,0.8655,0.6143,0.8975,0.0997,0.0028,0.0,0.6443,0.2275,0.0248,0.0831,0.0166,0.0008,0.0026,0.0002,0.0,0.0
E,Ivory Coast,1743.0,0.1448,0.789,0.1899,0.1876,0.4378,3.934,0.1462,0.6056,0.2265,0.0217,0.0263,0.0731,0.0405,0.3256,0.2416,0.0447,0.1675,0.059,0.0,0.0217
E,Ecuador,1890.0,0.3042,0.8925,0.5894,0.1857,0.2189,5.9154,0.0307,0.3125,0.4968,0.16,0.0019,0.0105,0.0136,0.0872,0.1621,0.0678,0.2893,0.2075,0.0,0.16
F,Netherlands,1944.0,0.4216,0.6468,0.8256,0.1936,0.1751,6.2628,0.0356,0.2599,0.4793,0.2251,0.0025,0.0113,0.0155,0.0605,0.1323,0.0735,0.2393,0.2401,0.0,0.2251
F,Japan,1910.0,0.3241,0.6007,0.7971,0.2035,0.2225,5.7762,0.0548,0.3238,0.4663,0.1552,0.0049,0.0195,0.0227,0.0888,0.1676,0.075,0.2614,0.2049,0.0,0.1552
F,Sweden,1755.0,0.1508,0.182,0.6214,0.2103,0.4717,3.493,0.263,0.5369,0.183,0.017,0.0651,0.1259,0.0627,0.2856,0.2185,0.042,0.134,0.049,0.0,0.017
F,Tunisia,1585.0,0.0504,0.064,0.1677,0.1579,0.748,1.3201,0.7398,0.2389,0.0208,0.0005,0.4089,0.2715,0.0557,0.1718,0.0647,0.006,0.0176,0.0032,0.0,0.0005
G,Belgium,1879.0,0.6186,0.555,0.7748,0.1972,0.1533,6.437,0.0382,0.2411,0.4546,0.266,0.0027,0.0118,0.0163,0.0527,0.1191,0.0767,0.2019,0.2528,0.0,0.266
G,Egypt,1711.0,0.1696,0.3094,0.5695,0.2301,0.4204,3.8357,0.2469,0.4876,0.2356,0.0299,0.0554,0.1122,0.0672,0.2208,0.224,0.0549,0.162,0.0736,0.0,0.0299
G,Iran,1756.0,0.215,0.4382,0.6322,0.2299,0.3416,4.5461,0.1622,0.4497,0.3285,0.0596,0.0275,0.0695,0.0531,0.1703,0.2226,0.0688,0.2109,0.1176,0.0,0.0596
G,New Zealand,1578.0,0.0753,0.2043,0.1604,0.1945,0.6588,1.9037,0.6177,0.327,0.0528,0.0025,0.2789,0.2563,0.0755,0.205,0.1137,0.0153,0.042,0.0108,0.0,0.0025
H,Spain,2129.0,0.9194,0.9225,0.7314,0.1007,0.0416,8.022,0.0017,0.0437,0.3343,0.6204,0.0,0.0002,0.0007,0.0032,0.0173,0.0239,0.1013,0.233,0.0,0.6204
H,Cape Verde,1606.0,0.0133,0.3827,0.0959,0.164,0.672,1.9679,0.5506,0.4073,0.0416,0.0005,0.2437,0.2476,0.0564,0.2974,0.1062,0.0065,0.038,0.0036,0.0,0.0005
H,Saudi Arabia,1598.0,0.0124,0.3597,0.0911,0.162,0.6836,1.8757,0.5748,0.3877,0.0371,0.0004,0.2632,0.2534,0.0554,0.2858,0.0988,0.0059,0.034,0.0032,0.0,0.0004
H,Uruguay,1870.0,0.099,0.7369,0.7455,0.1668,0.3061,5.2442,0.0603,0.3524,0.5329,0.0544,0.0064,0.0241,0.0252,0.1069,0.2058,0.0443,0.4155,0.1174,0.0,0.0544
I,France,2084.0,0.7157,0.9064,0.6007,0.1565,0.1025,7.1379,0.0106,0.1456,0.4541,0.3897,0.0003,0.0025,0.0049,0.0242,0.0698,0.0546,0.1844,0.2696,0.0,0.3897
